,Algorithm,Epochs,Iterations
0,full-batch,11852,11852
1,full-batch,11852,11852
2,full-batch,11852,11852
3,full-batch,11852,11852
4,full-batch,11852,11852
5,full-batch,11852,11852
6,full-batch,11852,11852
7,full-batch,11852,11852
8,full-batch,11852,11852
9,full-batch,11852,11852
10,stochastic,338,13520
11,stochastic,319,12760
12,stochastic,337,13480
13,stochastic,317,12680
14,stochastic,305,12200
15,stochastic,338,13520
16,stochastic,319,12760
17,stochastic,326,13040
18,stochastic,324,12960
19,stochastic,297,11880
20,mini-batch,2778,27780
21,mini-batch,4733,47330
22,mini-batch,2252,22520
23,mini-batch,4018,40180
24,mini-batch,3289,32890
25,mini-batch,2665,26650
26,mini-batch,1340,13400
27,mini-batch,2506,25060
28,mini-batch,1893,18930
29,mini-batch,1512,15120
